"24071","02,08,19,28,30,31","14"
"24070","04,13,18,20,22,28","05"
"24069","06,13,20,21,24,32","06"
"24068","01,02,07,19,20,21","01"
"24067","01,11,13,17,25,29","03"
"24066","08,09,12,22,26,32","13"
"24065","03,05,09,10,19,22","14"
"24064","06,08,17,18,28,30","05"
"24063","07,14,16,23,28,32","04"
"24062","01,07,10,16,18,27","16"
"24061","01,09,18,22,25,28","2"
"24060","01,02,06,10,22,28","15"
"24059","01,03,14,25,31,33","7"
"24058","08,12,13,17,27,29","13"
"24057","03,08,17,18,23,31","8"
"24056","05,18,20,24,25,26","6"
"24055","02,04,06,07,16,29","3"
"24054","08,13,20,25,31,32","3"
"24053","07,14,21,22,28,33","7"
"24052","07,10,11,15,17,21","3"
"24051","05,09,13,20,23,28","6"
"24050","01,03,07,10,22,33","2"
"24049","12,15,17,23,26,32","11"
"24048","02,09,15,19,26,28","2"
"24047","07,08,21,26,29,30","15"
"24046","02,06,10,11,17,29","15"
"24045","02,08,19,23,24,26","3"
"24044","02,06,17,25,32,33","6"
"24043","04,06,07,14,15,24","8"
"24042","02,04,05,14,26,32","14"
"24041","02,09,12,22,25,33","16"
"24040","11,14,18,19,23,26","2"
"24039","02,06,12,29,30,31","10"
"24038","08,10,18,23,27,31","2"
"24037","01,04,05,06,12,14","13"
"24036","02,08,09,12,21,31","2"
"24035","05,07,14,17,22,32","6"
"24034","02,09,12,19,21,31","4"
"24033","06,10,11,18,20,32","5"
"24032","01,03,04,11,12,21","16"
"24031","09,10,13,25,30,32","2"
"24030","01,08,22,25,29,33","10"
"24029","12,18,23,25,28,33","4"
"24028","03,07,08,11,18,19","5"
"24027","02,06,13,27,28,32","13"
"24026","04,07,18,19,20,25","6"
"24025","08,15,21,22,25,33","13"
"24024","03,07,21,24,26,30","10"
"24023","01,10,22,25,28,32","10"
"24022","02,09,11,14,18,26","6"
"24021","04,06,16,17,23,24","11"
"24020","03,08,12,14,17,33","8"
"24019","05,11,12,16,17,20","8"
"24018","06,15,17,24,28,29","16"
"24017","04,17,19,20,25,32","4"
"24016","07,12,20,24,32,33","4"
"24015","03,08,17,18,20,30","15"
"24014","01,02,10,22,24,25","13"
"24013","01,07,10,14,21,25","7"
"24012","01,03,07,18,22,28","15"
"24011","08,12,16,20,27,31","6"
"24010","11,16,20,21,23,24","4"
"24009","01,04,07,10,17,23","14"
"24008","08,20,21,23,27,30","13"
"24007","04,05,06,07,20,22","15"
"24006","07,18,20,21,26,32","5"
"24005","05,06,20,23,25,32","3"
"24004","09,13,17,18,21,27","4"
"24003","01,05,08,13,32,33","3"
"24002","04,09,10,17,19,20","9"
"24001","03,07,16,26,27,32","16"
"23151","01,15,16,20,25,27","5"
"23150","10,17,25,26,30,33","5"
"23149","02,10,19,24,26,33","15"
"23148","03,05,07,09,19,20","8"
"23147","05,06,14,16,19,32","12"
"23146","02,03,06,11,20,32","9"
"23145","07,10,21,22,23,24","11"
"23144","12,16,17,22,25,27","8"
"23143","05,07,09,16,23,30","15"
"23142","02,08,20,21,27,33","14"
"23141","01,08,11,12,21,23","3"
"23140","03,04,11,14,30,31","5"
"23139","12,14,19,21,27,31","11"
"23138","03,22,28,30,31,33","4"
"23137","03,12,17,19,23,27","11"
"23136","03,05,10,21,22,26","10"
"23135","05,06,11,13,28,30","7"
"23134","05,08,09,17,22,33","4"
"23133","04,05,10,14,22,25","3"
"23132","03,09,11,15,25,27","1"
"23131","06,07,14,20,26,32","1"
"23130","04,10,17,22,23,32","16"
"23129","08,09,12,17,32,33","4"
"23128","07,16,20,21,27,33","1"
"23127","03,08,19,22,26,32","14"
"23126","10,24,26,28,29,31","16"
"23125","11,14,15,27,30,33","4"
"23124","02,03,17,18,25,30","11"
"23123","10,13,15,22,29,32","15"
"23122","07,08,14,18,20,30","5"
"23121","02,12,16,25,30,31","12"
"23120","03,08,13,24,27,29","8"
"23119","01,02,03,19,21,28","15"
"23118","01,02,11,19,25,29","4"
"23117","02,11,14,17,18,28","8"
"23116","02,08,09,13,24,27","12"
"23115","02,07,16,21,26,27","16"
"23114","07,09,15,16,17,26","9"
"23113","01,02,13,18,25,27","3"
"23112","09,12,13,22,24,31","4"
"23111","05,06,12,17,20,33","9"
"23110","02,06,20,25,29,33","16"
"23109","06,08,10,13,16,28","13"
"23108","01,03,06,08,18,24","9"
"23107","03,07,18,25,29,33","14"
"23106","07,09,10,20,22,24","7"
